app,samples,minutes,productivity,date
Power BI,237,59.25,Good,2025-08-22
Chrome,63,15.75,Neutral,2025-08-22
YouTube,41,10.25,Bad,2025-08-22
VS Code,11,2.75,Good,2025-08-22
microsoft_to_do,9,2.25,Neutral,2025-08-22
Other,8,2.0,Neutral,2025-08-22
Github,5,1.25,Neutral,2025-08-22
